"ID","NAME","PRICE","MAIN_IMG_URL","DESC_IMG_URL","INGREDIENTS","MAIN_CATEGORY_CODE","SUB_CATEGORY_CODE","ANIMAL_TYPE_CODE","PROTEIN_CODE"
"PR001930","[유통기한 임박할인] 디어니스트키친 디하이드레이티드 LID 피쉬 레시피 1.81kg(유통기한:2023.11.25)",90000,"https://heendy-feed.s3.amazonaws.com/product_d72e2b751a3b75267b7aa850ea582584742c45607028bfba68e61c12e5959050.png","https://heendy-feed.s3.amazonaws.com/product_9d8429e21f10245a672f19320c390734bcf3b079081dcf66ca84507e52899602.png","수분을제거한자연살흰살생선, 건조된유기농코코넛, 건조된병아리콩, 수분을제거한호박, 수분을제거한셀러리, 수분을제거한시금치, 인산삼칼슘, 염화칼륨, 염화콜린, 킬레이트아연아미노산, 킬레이트철분아미노산, 요오드화칼륨, 킬레이트구리아미노산, 아셀렌산나트륨, 타우린, 비타민E보충제, 비타민B12보충제, 티아민, 판토텐산칼슘, 리보플라빈, 비타민D3, EPA, DHA","FD","43","DOG","P07"
"PR001931","지위픽 독 식품 고등어&양고기 1kg",87000,"https://heendy-feed.s3.amazonaws.com/product_be03da92a4a05a528e2627397e42471a442715eb3c97b172635730219f95380f.png","https://heendy-feed.s3.amazonaws.com/product_cac754a1a11ae8a9b4532bfccf6dd8161a852c5ee1c869988236e32a8014eb1e.png","고등어, 양고기, 양위, 양폐, 양심장, 양간, 뉴질랜드초록입홍합, 양신장, 양비장, 양뼈, 레시틴, 파슬리, 사과박, 치커리이눌린, 미네랄, 해조분, 정제염, 양연골, 구연산, 혼합토코페롤, 비타민합제","FD","43","DOG",""
"PR001932","지위픽 독 식품 트라이프&양고기 454g",49000,"https://heendy-feed.s3.amazonaws.com/product_a634cc0d9e4a53ee46f2d572dffb49948b53329118f4a1f0dda1d75bb350a953.png","https://heendy-feed.s3.amazonaws.com/product_f3ad640d4afae91d637af2a4d2be655bfa7c2928ca248e3b05092964ab1af526.png","양위, 양폐, 양심장, 양고기, 양간, 양뼈, 뉴질랜드초록입홍합, 양신장, 양비장, 레시틴, 파슬리, 사과박, 치커리이눌린, 미네랄, 해조분, 정제염, 양연골, 구연산, 혼합토코페롤, 비타민합제","FD","43","DOG",""
"PR001933","디어니스트키친 디하이드레이티드 그레인프리 치킨 레시피 3.17kg",130000,"https://heendy-feed.s3.amazonaws.com/product_115de9348dbf2a3c2aa05e438bac16594a6ca88e36e553e07cd1f8f4b504c2fb.png","https://heendy-feed.s3.amazonaws.com/product_b1418df4b6782d56c689c3bf86dc26555851727925994f5df975200c4826fabb.png","수분을 제거한 방목닭, 유기농 아마씨, 수분을 제거한 감자, 수분을 제거한 고구마, 건조된 사과, 수분을 제거한 샐러리, 수분을 제거한 꿀, 수분을 제거한 호박, 수분을 제거한 양배추, 건조된 바나나, 건조된 파파야, 수분을 제거한 그린빈, 건조된 바질, 수분을 제거한 유기농 다시마, 건조된 마늘, 인산삼칼슘, 염화칼륨, 염화콜린, 킬레이트아연아미노산, 킬레이트철분아미노산, 요오드화칼륨, 킬레이트구리아미노산, 아셀렌산나트륨, 타우린, 비타민E보충제, 비타민B12보충제, 티아민, 판토센산칼슘, 리보플라빈, 비타민D3","FD","43","DOG","P04"
"PR001934","프론티어 동결건조 포크 300g",39000,"https://heendy-feed.s3.amazonaws.com/product_a009d0f7966d580afc549657a058235b0b1cc1098fd0b271a78298f6a4d5878c.png","https://heendy-feed.s3.amazonaws.com/product_c7a503781a139729029b51adab7fef43ff64529a23e7bac2330179ff4a9055ff.png","자유 방목 돼지의 생육과 장기, 자유 방복한 소의 그린트라이프, 사과, 당근, 쥬키니호박, 브로콜리, 고구마, 자유 방목 계란, 아몬드 분말, 햄프 분말, 녹색 잎 홍합, 해초 분말, 강황, 천일염, 비타민B1, 비타민D, 비타민E, 아연, 구리, 철분, 칼슘","FD","43","DOG","P09"
"PR001935","스몰배치 터키 슬라이더 709g",98000,"https://heendy-feed.s3.amazonaws.com/product_bac236c3477a9730ca81ce77dac21adf705384401d16611802ce73e9a41eb54d.png","https://heendy-feed.s3.amazonaws.com/product_bb314c7560a79280a54c669f958341c40fd490b2138daa390656b95dfdf5fd1b.png","칠면조 고기, 칠면조 목, 칠면조 등뼈, 칠면조 간, 칠면조 심장, 칠면조 모래주머니, 스쿼시호박, 샐러리, 콜리플라워, 껍질콩, 연어오일, 청경채, 사과식초, 켈프, 민들레, 고수, 비폴렌, 밀싹, 빌베리, 마늘, 타임, 오레가노, 비타민 E 보충제","FD","43","DOG","P09"
"PR001936","카루 데일리 디쉬 터키 with 살몬 스튜 354g",7500,"https://heendy-feed.s3.amazonaws.com/product_c339abedbc20f1effae1b7112c620528cfdbedcae93d8db0602389d8022b72b7.png","https://heendy-feed.s3.amazonaws.com/product_ecd90f5ea665617006810748570baa186247546f5345076921da5b4e746f86fd.png","정제수, 칠면조, 칠면조육수, 병아리콩, 연어, 사과, 당근, 완두콩, 호박, 해바라기오일, 아마씨, 타피오카전분, 난백, 탄산칼슘, 제삼인산칼슘, 염화칼륨, 염화콜린, 타우린, 비타민비타민E보충제, 비타민A보충제, 나이아신보충제, 판토텐산칼슘, 티아민, 리보플라빈보충제, 피리독신염산염, 엽산, 비타민B12보충제, 비타민D3보충제미네랄","FD","43","DOG","P09"
"PR001937","맥아담스 방목 치킨 소형견용 사료 2kg",50000,"https://heendy-feed.s3.amazonaws.com/product_54246d82f932050c81425df73062e7728cd497e1bb200cf1b3f004f3ee06805e.png","https://heendy-feed.s3.amazonaws.com/product_5a8251f06b6767a7d146cf07c224cace20608f5b8d7780e5ddfcdbc9aae61c8b.png","영국산 방목 생통닭, 고구마, 타피오카, 닭지방, 완두콩 섬유소, 닭육수, 완두콩 단백질, 양조 효모, 연어 오일, 미네랄, 비타민, 녹색입홍합, 프리바이오틱스, 시트러스 추출물, 아일랜드 해조, 렌틸콩 파우더, 유카 추출물, 시금치 파우더, 토마토, 당근, 카모마일꽃, 라벤더 파우더, 크랜베리, 마리골드, 로즈마리 추출물","FD","43","DOG","P04"
"PR001938","[유통기한 임박할인] 디어니스트키친 디하이드레이티드 LID 칠면조 레시피 1.81kg(유통기한:2023.11.24)",82500,"https://heendy-feed.s3.amazonaws.com/product_ff2538ea66dab9807896ef2a480b998b9274ad7a296094e1deb5c776c22f4092.png","https://heendy-feed.s3.amazonaws.com/product_97a3f0e9dfcfd54a5eee79ba6e96c308630be2e1c16f97a207033b617d8cbcd9.png","수분을 제거한 놓아 기른 칠면조, 수분을 제거한 파스닙, 수분을 제거한 흰강낭콩, 수분을 제거한 유기농 코코넛, 수분을 제거한 호박, 수분을 제거한 파슬리, 인산삼칼슘, 염화칼륨, 염화콜린, 킬레이트아연아미노산, 킬레이트철분아미노산, 요오드화칼륨, 킬레이트구리아미노산, 아셀렌산나트륨, 타우린, 비타민E보충제, 비타민B12보충제, 티아민, 판토텐산칼슘, 리보플라빈, 비타민D3","FD","43","DOG","P11"
"PR001939","테라카니스 카니레오 치킨 1kg",62100,"https://heendy-feed.s3.amazonaws.com/product_007b18d47a2817478a3a7eb23560ae64ab6d8da6407fe08cb0393a0e1c7794a1.png","https://heendy-feed.s3.amazonaws.com/product_347932c92f37288812239107589d0abef965e79bec67d88a5447fc8977bf6e29.png","닭살코기, 감자플레이크, 코코넛분말, 루핀분말, 살구, 당근, 호박, 샐러리, 닭간, 맥주효모, 아마씨, 사과, 파스닙, 달걀껍데기가루, 비트, 미네랄, 파슬리, 호로파, 유채씨분말, 민들레, 로즈힙, 카모마일, 아로니아, 시금치, 해조류, 로즈마리, 타임 비타민A8000IU, 비타민DD31000IU, 비타민E150IU, 구리7mg, 요오드16mg, 아연80mg","FD","43","DOG","P04"
"PR001940","스텔라앤츄이스 밀믹서 살몬&코드 226g",38000,"https://heendy-feed.s3.amazonaws.com/product_e9768b06bb03cd0be065a08462b472a35da9d032dd847be2db7ae0a5c6524a3f.png","https://heendy-feed.s3.amazonaws.com/product_a22d790bfec6cc38974c3afe3958782449f39d75e2272475ebbebd4e8441e23d.png","갈은 연어, 갈은 대구, 대구 간유, 호박씨, 유기농 크랜베리, 유기농 시금치, 유기농 브로콜리, 유기농 비트, 유기농 당근, 유기농 스쿼시호박, 유기농 블루베리, 페뉴그릭 씨, 열화칼륨, 토코페롤, 인산나트륨, 염화콜린, 건조 페디오코커스 애시디락티시 발효산물, 건조 락토바실러스 아시도필루스 발효산물, 건조 비피도박테리움 롱검 발효산물, 건조 바실러스 코아귤런스 발효산물, 아연 단백질 화합물, 철 단백질 화합물, 타우린, 탄산칼슘, 비타민 E 보충제, 티아민질산염, 구리 단백질 화합물, 망간 단백질 화합물, 아셀렌산 나트륨, 나이아신 보충제, d판토텐산 칼슘, 리버플라빈 보충제, 비타민 A 보충제, 비타민 D3 보충제, 비타민 B12 보충제, 피리독신 염산염, 엽산","FD","43","DOG","P06"
